Date,AAPL,CVX,EL,GS,HLI,JNJ,JPM,KO,MCD,META,MRK,PLTR,ULTA,UNH,XOM
2024-05-16,188.20962524414062,147.89718627929688,132.55625915527344,443.3154602050781,129.06178283691406,144.60079956054688,194.10577392578125,59.3658561706543,259.22088623046875,469.6081848144531,121.78115844726562,21.649999618530273,401.0400085449219,496.160400390625,110.37994384765625
2024-05-17,188.2393798828125,149.34780883789062,129.20974731445312,446.3694152832031,129.7779998779297,144.9381866455078,196.32992553710938,59.09395980834961,258.14984130859375,468.2983703613281,122.06958770751953,21.760000228881836,399.55999755859375,499.3585205078125,112.03746795654297
2024-05-20,189.3993377685547,147.943115234375,125.74818420410156,441.8075866699219,130.98777770996094,142.9257049560547,187.50042724609375,58.66269302368164,253.8754425048828,465.2518005371094,121.88349914550781,21.6200008392334,386.5,492.3149719238281,111.12911224365234
2024-05-21,190.69808959960938,146.86892700195312,127.26319885253906,448.9366149902344,131.82980346679688,142.8973388671875,191.2776641845703,58.98145294189453,251.97999572753906,461.07403564453125,121.66947174072266,21.239999771118164,381.8299865722656,498.33056640625,110.36121368408203
2024-05-22,189.26052856445312,144.66546630859375,125.39338684082031,441.2731628417969,130.01025390625,145.03268432617188,190.1176300048828,59.065834045410156,251.8851776123047,464.199951171875,121.98585510253906,21.170000076293945,378.3299865722656,496.2364501953125,108.14183044433594
2024-05-23,185.2750701904297,144.08709716796875,120.94416809082031,437.23626708984375,129.76832580566406,141.44229125976562,188.78504943847656,58.21266555786133,244.45480346679688,462.2152099609375,121.97654724121094,20.719999313354492,376.1400146484375,491.9342346191406,106.29700469970703
2024-05-24,188.34841918945312,144.83071899414062,120.8770523071289,440.1279296875,131.3555450439453,138.86289978027344,192.41851806640625,58.1282844543457,244.62538146972656,474.55999755859375,120.4877700805664,21.010000228881836,381.7799987792969,483.6913757324219,106.21271514892578
2024-05-28,188.35836791992188,146.0150909423828,120.8770523071289,438.82049560546875,129.98123168945312,136.415771484375,191.2584686279297,57.95952606201172,240.29412841796875,476.2470397949219,117.32414245605469,21.049999237060547,381.1300048828125,479.41766357421875,107.56121826171875
2024-05-29,188.65579223632812,144.0503387451172,116.55248260498047,436.301025390625,127.977783203125,136.47244262695312,189.9259033203125,57.847023010253906,236.34197998046875,470.72955322265625,117.14735412597656,20.940000534057617,378.2799987792969,461.3709716796875,106.40937042236328
2024-05-30,189.6471710205078,145.29896545410156,116.39905548095703,432.2780456542969,129.69085693359375,137.26612854003906,191.0955047607422,58.100154876708984,238.90093994140625,463.4754943847656,115.87259674072266,21.729999542236328,385.5799865722656,458.4488830566406,106.74649810791016
